newsapp3_class->fetch() : Rewriting menu files took 0.0102 seconds.
newsapp3_class->fetch() : Fetching news for 497 RSS pages, 60 menu-items, took 0 minutes, 10.1685 seconds; 0 new items.
CURL operation (path=/Deutsche nachrichten, url=http://rss.focus.de/fol/XML/rss_folnews.xml) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport, url=http://boerse.ard.de/index~rss.xml) \e[1;33mERROR : Could not resolve host: boerse.ard.de\e[0m
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/sportschauindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/fussballindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/bundesliga/fussballbundesligaindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/bundesliga2/fussball2bundesligaindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/bundesliga3/fussball3ligaindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/nationalmannschaft/fussballnationalmannschaftindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/dfbpokal/fussballdfbpokalindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/championsleague/fussballchampionsleagueindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/europaleague/fussballeuroleagueindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/international/fussballinternationalindex100_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/fussball/fussballfrauenfussballindex102~_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/formel1/formel1index100~_type-rss.feed) 0 bytes retrieved
CURL operation (path=/Deutsche nachrichten/Sport/Sportschau.de, url=http://www.sportschau.de/dtmindex104~_type-rss.feed) 0 bytes retrieved
