newsapp3_class->fetch() : Rewriting menu files took 0.0106 seconds.
newsapp3_class->fetch() : Fetching news for 497 RSS pages, 60 menu-items, took 0 minutes, 11.9427 seconds; 0 new items.
CURL operation (path=/Deutsche nachrichten/Sport, url=http://boerse.ard.de/index~rss.xml) \e[1;33mERROR : Could not resolve host: boerse.ard.de\e[0m
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossportalgemeen?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nosvoetbal?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossportwielrennen?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossportschaatsen?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossporttennis?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossportschaatsenvideo?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossportwielrennenvideo?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Sport, url=http://feeds.nos.nl/nossporttennisvideo?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Tech en Wetenschap, url=http://feeds.nos.nl/nosop3-tech-podcast?format=xml) 0 bytes retrieved
CURL operation (path=/Nederlands Nieuws/Zakelijk, url=http://feeds.nos.nl/nosnieuwseconomie?format=xml) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://beijingtoday.com.cn/feed/) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://irangov.ir/rss) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://www.president.ir/view/rss.php?si=en) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=http://feeds.washingtonpost.com/rss/world) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://www.rt.com/rss/news/) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://sputniknews.com/export/rss2/world/index.xml) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://www.euronews.com/rss?level=theme&name=news) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=https://www.vox.com/rss/index.xml) 0 bytes retrieved
CURL operation (path=/English News/World Headlines, url=http://feeds.news24.com/articles/news24/World/rss) 0 bytes retrieved
CURL operation (path=/English News/Opinions, url=http://feeds.foxnews.com/foxnews/opinion?format=xml) 0 bytes retrieved
CURL operation (path=/English News/Regions/Countries/USA, url=http://feeds.reuters.com/Reuters/domesticNews) \e[1;33mERROR : Could not resolve host: feeds.reuters.com\e[0m
CURL operation (path=/English News/Regions/Countries/USA, url=http://rss.cnn.com/rss/edition_us.rss) 0 bytes retrieved
CURL operation (path=/English News/Regions/Countries/USA, url=https://rightwirereport.com/feed/) 0 bytes retrieved
CURL operation (path=/English News/Regions/Countries/Japan, url=http://www.newsonjapan.com/rss/top.xml) 0 bytes retrieved
CURL operation (path=/English News/Regions/Countries/Australia, url=http://feeds.smh.com.au/rssheadlines/top.xml) \e[1;33mERROR : Could not resolve host: feeds.smh.com.au\e[0m
